,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,כמות המופעים של המילה לאורך השנים
observe,9,9,15,11,22,22,13,17,19,35,16,47,22,30,39,38,75,75,76,78,110,145,181,209,246,283,328,378,399,29
observed,63,61,82,89,100,103,115,96,90,159,147,175,178,154,128,207,315,352,347,352,431,448,532,549,664,766,832,824,803,29
observer,4,0,2,3,1,14,4,24,1,0,39,13,6,2,6,3,25,32,42,6,48,27,25,7,38,12,31,70,46,25
observers,0,0,0,3,2,7,4,8,2,4,30,12,3,9,13,4,42,25,83,10,38,6,28,21,2,9,6,28,10,26
observes,4,1,2,1,3,2,4,4,1,7,3,2,9,2,3,4,7,12,12,6,9,8,6,14,20,22,54,42,57,26
observing,8,5,11,9,6,8,14,11,16,16,17,13,11,23,7,21,36,32,43,33,35,53,69,47,59,63,71,79,69,29
obstacle,5,4,0,26,24,23,3,0,12,0,21,14,5,12,4,3,21,6,59,5,4,6,10,10,4,8,15,13,20,26
obstacles,6,9,2,21,11,19,6,0,1,1,17,4,7,7,1,3,19,2,22,6,6,3,6,8,1,8,21,6,22,24
obtain,57,51,43,55,76,95,108,127,121,147,145,133,168,204,124,258,306,322,340,424,411,488,529,558,631,794,802,853,838,29
obtainable,2,0,1,1,4,0,0,1,4,1,0,1,2,0,1,1,3,1,0,2,1,0,2,4,6,2,4,4,4,13
obtained,104,85,104,155,215,170,215,229,246,260,238,307,271,271,157,332,389,405,400,491,519,609,562,676,702,824,773,860,869,29
obtaining,12,5,2,5,9,10,10,11,11,18,10,23,19,13,15,26,33,28,45,40,42,72,70,77,86,73,104,105,107,29
obtains,10,2,5,3,6,5,5,7,8,6,14,11,19,14,5,10,13,18,14,24,31,23,21,42,41,61,57,65,68,29
obvious,16,15,19,18,20,12,24,18,28,28,17,20,25,24,22,31,31,47,43,40,38,50,51,49,46,68,63,63,59,29
obviously,4,11,5,11,6,8,9,16,16,15,14,14,14,13,9,23,31,26,22,24,22,31,33,42,31,37,26,29,28,29
occ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,12,0,0,60,0,54,0,5,5
occams,0,1,0,2,9,3,7,5,0,4,4,0,0,21,0,9,5,1,5,1,5,15,1,0,6,0,3,0,13,16
occasional,1,3,0,3,2,2,3,0,5,3,3,1,2,0,3,0,3,3,6,0,3,3,2,4,0,1,4,2,0,19
occasionally,0,4,2,3,5,1,4,2,10,6,2,2,3,2,6,6,5,7,9,5,5,10,13,5,5,2,13,9,16,27
occipital,0,0,0,0,2,0,0,0,0,0,4,0,4,0,0,0,4,5,5,2,6,2,18,6,0,0,2,0,0,12
occluded,2,0,2,4,9,8,5,0,11,5,3,1,3,6,2,5,11,13,9,7,21,12,16,33,8,31,8,11,2,26
occluding,1,1,3,0,6,4,1,0,1,2,1,1,3,0,0,3,1,1,12,7,2,0,7,6,1,2,3,3,0,14
occlusion,7,0,2,2,28,4,12,2,44,6,7,2,9,0,5,11,20,58,22,28,20,20,62,52,47,40,15,18,12,27
occlusions,0,0,1,0,1,1,8,0,0,0,10,1,1,3,1,4,3,12,2,10,5,3,7,31,16,36,16,15,4,17
occupancy,0,1,0,0,0,0,1,3,0,41,0,1,1,1,7,2,3,5,3,13,0,2,2,4,1,3,12,14,4,15
occupied,8,1,3,3,1,3,3,1,3,7,2,1,0,7,2,3,4,4,10,9,5,7,3,11,8,13,4,7,18,24
occupies,4,2,2,0,2,2,3,0,1,1,1,1,2,2,1,4,4,1,4,4,3,2,5,1,1,2,0,4,2,18
occupy,3,3,2,2,6,1,1,0,3,2,1,2,2,3,0,3,5,5,4,5,3,8,10,14,2,4,3,4,3,24
occur,65,42,30,44,47,47,45,50,63,33,46,54,44,33,57,50,47,63,92,66,73,103,93,94,87,100,103,101,86,29
occuring,4,2,2,2,1,5,2,2,1,1,4,0,2,2,1,1,4,2,1,2,4,0,1,2,4,4,2,1,0,18
occurred,11,8,10,11,13,14,7,10,18,10,22,5,11,6,16,15,11,19,25,7,30,25,30,25,16,17,18,17,13,29
occurrence,19,6,9,7,12,15,14,16,8,15,25,18,18,19,8,26,20,35,23,51,54,75,35,25,31,52,52,104,72,29
occurrences,1,4,1,1,7,3,3,2,3,3,10,8,4,6,2,19,3,17,17,17,35,17,38,13,18,22,33,17,21,26
occurring,17,8,5,7,11,8,6,19,7,18,9,17,14,9,12,15,8,18,21,17,22,27,45,29,25,30,39,34,22,29
occurs,48,31,38,46,61,69,38,49,47,37,41,35,59,36,44,51,69,69,69,40,74,72,95,69,68,73,81,67,86,29
ocean,0,0,0,1,3,0,0,1,0,0,0,2,0,0,0,0,6,1,2,1,5,3,3,9,6,4,7,8,0,12
oco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,3,16,22,4
ocsvm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,25,71,33,0,5
oct,4,3,8,3,6,5,11,2,8,6,4,4,3,4,13,0,3,4,1,8,7,8,11,16,11,14,27,18,18,27
octave,0,0,0,3,1,1,4,2,2,2,11,1,1,1,1,11,9,4,17,0,5,0,2,1,2,8,1,2,2,16
octaves,0,5,0,3,1,1,2,0,0,1,10,1,0,0,9,2,0,2,3,0,2,0,4,0,2,10,0,0,1,12
october,4,5,3,6,5,12,6,5,4,3,7,4,10,4,9,8,12,9,8,15,10,6,15,31,22,29,13,17,26,29
ocular,13,48,18,49,72,45,59,59,21,1,12,35,12,23,9,3,6,1,5,0,1,0,0,0,0,2,2,0,0,19
oculomotor,0,0,16,1,20,11,8,3,13,2,4,0,4,0,1,0,0,0,1,9,1,0,1,1,0,1,3,0,0,11
odd,7,16,12,10,7,6,9,6,19,14,18,8,12,10,9,8,31,17,35,6,28,21,12,29,17,22,25,28,74,29
odds,0,1,1,2,0,2,1,0,0,2,3,4,3,3,4,5,5,22,6,4,11,28,20,11,15,31,3,7,13,22
ode,0,1,0,1,1,1,0,0,0,8,1,0,0,3,1,0,5,0,1,0,3,16,3,6,2,1,2,54,47,11
odor,15,29,9,4,0,2,52,27,0,3,12,0,1,1,0,6,0,25,2,0,0,40,0,2,2,9,23,37,0,18
odors,18,7,1,7,0,5,5,11,0,0,4,0,0,0,0,4,0,2,1,0,0,8,0,1,0,5,80,16,0,13
offer,7,9,10,9,14,6,6,5,12,8,13,13,11,7,12,10,23,27,17,25,14,33,35,39,25,37,39,85,65,29
offered,2,3,1,7,0,3,3,0,4,2,4,3,8,3,5,2,7,3,7,3,9,5,13,8,14,6,14,49,24,26
offering,0,1,0,0,3,0,0,1,2,0,1,4,5,0,3,0,4,1,1,5,2,8,3,11,3,6,9,9,10,16
offers,3,8,10,11,14,6,8,22,6,13,13,11,2,8,9,9,22,23,26,16,31,43,36,58,38,66,46,70,60,29
office,19,20,30,32,28,16,22,30,24,18,14,17,6,3,1,12,13,6,9,6,9,12,27,19,36,22,26,23,17,28
official,1,2,0,0,1,3,2,8,5,0,1,2,2,0,1,0,2,4,2,0,2,2,1,2,4,13,9,26,9,18
offline,0,3,1,3,0,1,0,1,13,8,1,3,4,1,2,7,8,13,34,6,30,79,59,38,77,47,51,49,107,21
offs,0,1,1,4,1,1,0,2,3,1,1,1,0,0,1,4,4,2,2,4,9,3,5,9,10,6,39,8,17,17
offset,7,4,7,5,19,10,12,7,38,41,17,17,12,11,3,15,40,51,10,39,35,35,23,24,18,38,18,53,61,29
offsets,6,3,0,1,4,6,7,4,9,7,7,4,2,2,1,2,6,18,1,8,14,7,7,5,6,15,1,11,21,24
often,56,49,55,105,108,73,97,98,97,94,110,106,129,113,125,141,242,253,207,259,338,324,379,392,481,571,560,541,660,29
ogy,7,1,1,0,3,2,6,7,0,1,3,0,3,1,4,0,0,0,0,1,2,3,6,2,8,4,1,7,0,15
ohio,2,3,1,3,1,0,5,7,0,0,0,3,4,2,1,0,3,0,0,4,3,1,7,1,1,4,9,2,4,16
ohsumed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,20,27,0,0,0,0,5,0,4
oil,1,1,0,1,1,2,4,3,10,8,0,3,3,0,1,0,5,1,2,0,0,5,0,0,1,0,5,11,3,13
okeefe,0,0,0,1,0,17,0,1,2,2,2,2,0,16,0,1,5,2,1,0,0,0,0,1,0,1,0,3,1,9
old,7,5,10,19,10,11,16,25,11,26,17,34,18,27,14,67,30,16,19,26,32,37,25,30,22,37,48,34,52,29
older,1,1,2,2,2,1,0,0,1,0,0,1,2,2,0,3,2,3,1,2,4,9,5,2,6,4,4,0,4,17
olfactory,81,43,36,12,3,29,31,9,2,2,9,1,2,4,1,7,0,32,3,2,1,17,0,3,1,19,38,27,1,22
oliva,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,1,1,0,3,3,5,7,19,16,6,13,12,12
oliver,2,1,0,2,0,0,0,0,0,0,3,7,2,2,1,0,0,2,3,1,0,0,6,2,2,4,5,3,6,15
olivetti,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,1,1,6,5,0,0,0,0,29,5,0,3,6
olivier,0,0,1,0,0,2,0,0,1,0,1,0,3,4,2,4,11,4,7,9,7,5,7,13,12,9,18,13,32,18
olog,0,0,1,0,1,2,3,0,0,0,0,1,3,6,1,0,12,10,18,16,30,3,56,20,31,31,42,58,84,17
ols,0,0,0,0,0,1,0,0,0,1,0,7,1,0,0,0,0,0,31,8,2,0,45,5,34,2,34,37,13,11
olshausen,0,1,2,0,0,2,0,2,4,14,11,18,10,23,0,20,2,12,9,16,13,14,16,22,26,30,16,14,8,23
olshen,1,1,2,4,3,0,3,1,7,4,2,0,2,1,1,2,1,1,1,0,2,0,1,3,2,2,2,3,3,16
omit,2,0,0,1,2,1,3,4,8,5,8,1,7,2,7,12,19,18,24,28,27,42,40,46,33,51,34,46,38,24
omitted,3,6,5,3,2,11,4,3,15,19,15,10,27,30,7,16,21,31,33,41,39,44,57,44,50,66,42,36,45,29
omitting,0,0,1,0,1,2,1,1,8,4,4,4,1,3,2,1,5,6,4,6,2,4,7,5,8,3,6,8,5,20
ones,29,40,21,42,36,29,45,45,49,46,52,55,57,70,35,69,81,109,91,107,110,157,138,188,178,219,203,246,214,29
ongoing,4,4,7,3,6,1,6,7,1,12,11,4,3,2,2,5,7,7,7,18,7,7,10,13,9,13,10,13,20,27
online,0,3,1,5,9,5,19,39,43,49,38,29,103,31,31,66,247,179,242,173,196,549,542,498,520,630,841,698,901,27
onset,9,8,6,35,21,18,11,4,53,18,26,18,35,3,20,18,43,21,37,31,22,24,16,12,21,36,5,24,18,29
onsets,0,0,0,0,1,3,1,2,16,0,4,5,0,2,7,2,1,0,1,2,3,0,0,3,1,2,0,7,1,13
ontario,1,2,4,2,7,6,3,4,4,0,3,2,2,0,0,0,4,1,1,5,0,3,2,0,0,1,3,3,1,17
ontology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,4,1,3,25,10,4,4,9,5,4,11
open,22,25,19,27,35,27,30,46,33,66,28,47,40,40,20,41,79,56,76,55,60,68,73,92,126,136,131,190,185,29
opened,5,1,2,3,6,3,0,0,1,0,0,0,1,1,1,1,0,1,3,0,2,3,2,1,3,4,3,3,3,14
opening,2,1,1,1,2,7,4,2,1,1,3,3,2,0,1,6,1,1,6,4,0,5,11,10,7,2,16,5,3,19
opens,3,1,0,1,8,0,2,3,1,7,2,0,3,4,1,6,8,3,4,8,8,14,8,10,12,24,18,20,16,22
oper,4,1,0,2,2,1,1,2,0,0,2,1,1,0,2,0,1,0,1,8,7,2,5,9,9,9,23,10,3,16
opera,5,2,0,3,2,1,1,0,4,1,2,2,0,0,1,1,0,0,0,1,0,2,4,2,4,6,9,6,0,14
operate,25,15,12,13,14,8,16,13,17,12,13,11,18,12,9,13,26,18,9,16,19,24,20,21,19,34,37,42,44,29
operated,3,1,3,3,2,2,5,6,7,4,6,0,3,0,2,0,11,1,3,2,1,3,3,3,4,3,1,3,1,21
operates,12,9,5,10,8,9,14,16,15,12,15,8,12,9,8,9,18,13,17,11,11,12,24,16,21,29,22,39,50,29
operating,26,19,21,36,16,15,25,20,23,23,38,30,19,6,10,9,30,24,21,6,26,45,14,28,32,25,22,31,43,29
operation,110,69,54,67,47,47,60,45,59,67,38,55,35,33,23,31,45,33,68,44,89,91,60,68,67,96,97,112,174,29
operational,4,8,16,5,7,3,6,1,1,4,2,2,2,1,0,14,5,1,5,11,0,6,5,14,4,3,8,4,11,23
operations,44,12,42,37,52,33,30,33,50,25,32,34,22,42,20,27,52,55,54,46,60,87,103,108,124,137,202,224,244,29
operator,78,17,25,35,47,16,40,91,42,32,35,48,73,29,34,72,82,97,125,87,105,117,144,204,365,285,264,332,336,29
operators,11,3,13,19,27,10,11,23,24,13,16,25,30,9,4,14,36,82,48,30,33,33,51,46,142,66,111,133,83,29
opinion,1,2,0,0,0,0,3,3,5,1,28,2,2,4,6,0,5,28,4,5,4,6,10,12,17,12,8,3,68,22
opinions,0,1,0,0,1,1,0,3,1,2,0,0,0,4,3,1,3,2,1,7,9,6,14,8,6,13,9,7,16,16
opper,2,0,1,1,7,3,0,10,2,19,1,32,19,23,21,13,12,7,14,3,10,6,12,17,13,19,25,22,17,24
opponent,7,3,2,4,0,1,6,2,18,8,3,6,3,14,31,0,61,32,4,13,33,10,25,12,7,26,3,32,28,26
opponents,0,0,0,0,1,0,4,1,2,3,0,0,0,0,35,0,18,30,1,7,21,12,21,8,3,28,2,12,16,16
opportunities,1,2,2,1,0,1,0,1,4,2,2,1,2,1,1,3,6,2,7,7,4,4,5,7,11,8,9,8,12,20
opportunity,5,3,5,2,1,4,2,5,4,8,0,0,0,3,2,3,3,3,6,6,4,14,8,12,16,8,13,19,11,25
opposed,9,2,4,8,10,10,9,7,13,3,8,11,11,12,7,14,28,26,15,34,21,31,46,40,53,62,48,59,58,29
opposing,4,1,1,3,1,2,2,1,3,1,0,1,1,3,0,2,4,1,7,8,3,5,7,1,2,1,4,2,3,17
opposite,17,17,15,18,29,21,7,29,29,29,21,15,17,13,8,23,20,17,25,32,29,33,48,38,17,30,25,58,26,29
opt,20,3,6,8,10,8,8,11,11,13,17,37,7,25,5,9,10,8,5,26,28,15,31,40,17,37,46,74,99,29
optic,3,12,4,9,13,22,13,19,4,2,39,1,1,1,0,19,8,20,1,1,2,7,2,4,2,0,4,0,1,20
optical,132,15,4,26,45,25,20,70,29,27,19,67,32,18,3,12,22,12,13,30,14,23,22,54,23,27,64,76,31,29
optics,19,3,4,3,4,1,6,3,2,1,5,3,4,1,2,1,6,7,2,4,1,2,0,2,1,9,11,6,8,22
optim,2,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,2,2,4,3,8,4,7,12,11
optima,3,0,2,3,1,16,5,4,13,7,3,3,3,1,3,13,29,4,11,6,31,6,23,28,34,38,78,74,70,26
optimal,91,102,107,190,202,287,378,289,284,399,423,382,355,394,255,391,639,590,636,719,811,840,1003,1284,1285,1762,1857,1956,1965,29
optimality,1,16,2,9,9,6,19,22,6,11,18,28,17,21,7,34,58,48,35,38,72,83,98,112,102,155,233,158,166,28
optimally,7,1,3,6,13,10,9,18,20,21,18,8,7,18,7,12,30,26,28,29,25,32,31,38,41,52,53,43,33,28
optimisation,0,1,2,1,17,1,1,2,8,12,3,10,8,25,10,15,48,11,15,20,22,7,6,31,32,35,49,37,47,24
optimise,1,1,1,0,3,1,0,7,3,3,2,2,1,5,5,3,9,1,3,8,10,6,2,6,13,6,5,5,7,21
optimised,0,0,0,1,6,1,1,0,0,3,1,8,0,4,2,3,10,3,4,6,5,3,4,12,10,10,6,5,14,19
optimising,0,0,2,0,2,0,0,3,5,4,0,3,3,5,8,2,10,4,3,3,4,3,3,9,6,3,3,3,8,23
optimism,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,1,2,2,1,2,1,6,6,6,26,6,10,10
optimistic,1,1,1,0,0,5,0,2,0,6,0,2,1,1,16,2,5,7,12,3,20,21,12,29,42,25,158,39,74,19
optimiza,3,1,1,0,6,0,1,3,6,5,1,2,3,0,0,2,0,0,0,10,9,9,13,15,16,31,27,41,1,17
optimization,98,78,115,62,144,70,130,68,179,111,98,135,97,109,103,247,290,354,373,578,688,702,842,1199,1198,1605,1717,1799,2543,29
optimizations,1,0,0,1,3,0,4,0,0,2,2,7,0,2,7,7,3,7,3,20,5,4,5,9,11,12,12,12,16,21
optimize,9,10,8,12,24,5,16,3,14,22,22,27,38,28,20,48,45,44,57,93,88,97,93,170,161,209,205,244,248,29
optimized,5,10,17,27,24,6,42,21,34,20,28,30,26,17,16,51,24,55,56,85,51,92,85,111,127,120,143,153,154,29
optimizer,1,0,1,0,0,0,1,0,2,4,1,3,10,2,1,2,7,4,4,4,27,5,6,14,31,13,15,30,51,19
optimizers,0,0,0,0,0,0,5,0,2,2,5,0,0,0,0,0,1,1,0,4,26,7,1,4,12,5,3,4,9,13
optimizes,0,2,3,1,3,1,3,1,7,5,5,4,7,6,3,8,12,20,12,24,26,18,29,41,30,49,50,53,62,25
optimizing,3,3,4,10,8,18,9,5,18,16,16,30,20,16,12,40,56,44,63,78,69,88,110,127,163,154,166,195,259,29
optimum,22,38,21,9,8,21,16,8,32,29,16,17,12,10,13,48,61,40,57,52,71,58,69,127,110,139,158,146,211,29
option,5,3,2,1,1,2,2,1,3,25,2,30,5,52,2,4,9,67,78,12,15,53,79,72,91,62,97,124,59,26
optional,0,0,1,3,3,0,3,1,0,1,0,1,1,10,3,2,4,5,2,7,1,2,1,2,6,4,5,9,16,17
optionally,0,0,0,0,0,0,2,1,0,0,0,0,4,1,0,1,2,4,7,3,4,1,4,2,2,5,3,4,8,14
options,3,1,1,2,5,0,3,6,3,14,1,46,11,35,3,3,10,37,38,6,8,37,81,41,105,49,37,83,28,25
optspace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,28,15,4,8,1,7,6
oracle,0,0,0,4,0,7,0,0,16,0,0,1,0,0,5,4,9,20,20,31,89,40,168,110,84,308,209,355,297,18
oracles,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,12,2,6,20,11,15,36,7
orange,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,6,1,8,3,2,6,6,6,7,12,11,31,23,12
orbit,0,3,0,0,4,3,19,5,2,2,4,1,0,0,0,0,1,1,1,8,0,4,2,16,20,69,13,15,13,17
orbits,0,1,0,0,2,0,9,2,1,0,0,1,0,0,0,0,2,0,0,0,0,4,18,0,11,27,11,8,15,11
orda,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,1
order,354,251,271,384,392,384,389,410,476,418,491,435,444,461,345,439,541,834,627,564,864,1052,1223,1183,1268,1431,1312,1578,1652,29
ordered,4,11,5,22,12,12,14,21,12,24,15,9,21,17,5,35,30,66,48,49,48,58,78,85,67,60,69,76,77,29
ordering,4,10,1,8,16,3,11,3,15,23,39,11,15,54,13,31,30,32,50,27,49,87,132,63,73,153,119,173,199,28
orderings,0,1,0,1,1,0,1,2,1,2,11,0,4,10,2,3,2,2,2,3,6,13,44,4,6,36,7,44,15,20
orders,18,17,6,11,7,21,10,20,20,24,7,18,13,18,7,10,11,51,23,33,48,50,46,67,47,87,89,95,88,29
ordinal,0,1,0,1,0,0,0,1,0,9,5,0,0,1,47,10,0,12,15,70,80,8,27,6,18,86,12,31,22,16
ordinary,14,10,4,9,1,13,24,9,17,19,19,6,22,23,7,25,25,14,24,31,18,27,33,31,50,43,54,56,70,28
ordinate,6,1,1,0,1,2,1,5,8,3,3,2,1,3,4,2,1,1,3,19,7,7,0,2,5,6,8,3,4,20
oregon,3,0,4,5,14,3,7,4,6,11,7,2,10,4,4,0,3,0,2,2,1,6,4,8,9,12,5,6,5,25
oreilly,0,0,0,0,0,0,0,0,3,0,16,0,0,1,34,2,2,4,0,0,2,7,2,0,2,2,0,4,3,13
organ,1,12,0,0,1,0,2,1,3,3,4,0,1,0,0,0,0,1,11,1,0,1,1,1,3,2,1,1,2,9
organisation,1,4,1,0,6,7,2,1,6,10,1,0,2,0,0,3,0,4,2,3,0,1,0,3,0,3,5,5,1,15
organism,2,0,12,4,3,2,1,0,3,1,1,0,1,3,0,0,7,5,2,4,1,14,1,1,6,4,3,1,0,15
organisms,12,5,5,4,1,1,3,0,1,1,0,2,0,3,0,7,6,7,4,2,9,45,3,3,14,6,6,1,0,19
organization,90,60,78,48,38,29,50,63,47,34,29,24,41,18,13,38,43,31,40,15,25,19,33,41,34,42,28,22,29,29
organize,3,1,2,3,0,2,3,4,2,1,7,1,0,3,1,1,11,3,8,1,9,5,8,7,7,15,7,4,4,21
organized,15,14,16,8,16,22,13,36,33,11,13,8,18,13,8,19,34,46,39,48,35,44,63,65,48,68,64,62,46,29
organizing,21,39,51,18,44,43,28,45,58,49,26,14,10,1,0,8,13,11,9,3,5,5,9,4,8,7,3,7,3,27
orient,0,2,7,0,0,1,1,1,2,0,1,1,3,0,0,1,0,5,1,1,1,5,2,1,3,4,0,10,10,11
orientation,116,33,44,114,104,53,105,143,51,220,160,146,80,61,62,70,91,81,90,92,112,133,136,244,137,175,53,56,60,29
orientations,21,0,10,17,10,4,11,18,15,34,33,32,34,12,15,15,13,26,20,34,26,31,52,37,36,47,16,24,9,28
oriented,6,14,29,23,21,28,14,19,20,65,22,21,24,12,12,26,18,25,14,38,30,24,43,27,70,56,32,42,20,29
orig,0,0,1,7,3,1,2,1,3,7,6,9,0,0,0,4,3,1,0,2,4,3,4,3,10,1,4,3,1,17
origin,24,33,18,19,24,12,15,21,44,24,21,19,30,27,21,48,18,22,30,51,28,27,37,47,35,62,52,21,42,29
original,76,37,60,93,113,101,107,161,97,138,103,132,100,104,83,209,232,280,225,367,322,306,295,353,380,538,444,598,494,29
originally,9,5,6,12,10,4,10,16,12,17,6,12,10,7,10,14,16,18,23,31,21,34,42,28,33,41,47,50,50,29
originate,2,3,0,2,0,3,1,4,0,4,3,1,0,1,0,1,1,4,4,3,5,3,5,10,6,5,3,8,3,19
originated,0,0,2,2,3,2,3,4,0,2,2,3,2,2,0,1,4,4,1,8,9,2,2,2,2,4,5,4,6,23
originates,1,1,0,0,1,1,0,5,0,4,1,1,1,2,0,1,3,2,4,6,1,3,2,4,6,3,1,8,2,14
originating,11,2,1,1,1,0,2,3,3,2,2,1,3,8,0,2,9,2,3,22,0,14,6,5,7,5,5,5,6,22
origins,0,0,2,0,3,0,0,2,1,1,1,0,3,4,1,3,0,1,4,20,3,0,0,2,5,4,2,3,5,15
ornstein,0,0,0,1,3,0,0,0,4,0,0,2,1,0,0,0,0,4,4,2,4,2,5,4,17,11,6,3,4,15
orrent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,1
orthant,0,0,0,2,0,0,0,0,0,0,3,0,1,11,0,2,11,3,5,2,5,0,4,2,5,41,9,21,10,16
orthogonal,33,18,0,30,44,18,32,19,15,45,28,35,31,48,20,41,69,73,68,64,48,93,104,152,166,182,147,261,155,28
orthogonality,8,0,0,1,4,1,3,1,2,0,2,4,6,6,0,3,8,9,11,8,1,14,5,12,16,30,16,12,26,21
orthogonalization,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,6,1,0,0,0,0,8,9,3,38,3,21,8
orthographic,1,0,0,2,2,6,1,0,0,0,6,0,1,4,5,1,5,0,2,1,4,1,0,8,1,0,0,2,0,11
orthonormal,7,4,3,9,0,0,3,11,6,8,5,5,6,8,7,10,21,18,39,10,12,36,25,17,45,44,41,124,83,27
ortner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,6,0,0,7,6,12,9,9,8
ory,2,2,10,4,2,4,5,2,4,4,5,5,4,3,4,0,1,0,0,4,1,2,6,3,4,4,12,8,1,23
osborne,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,2,0,5,3,7,2,2,6,11,3,7,10
oscillate,4,5,4,5,7,2,5,2,20,2,10,2,0,6,1,0,1,1,2,1,0,1,3,2,1,2,1,2,2,19
oscillates,5,1,1,3,6,2,4,0,22,0,4,4,0,3,1,2,0,1,1,2,0,0,2,1,0,2,4,1,3,15
oscillating,1,6,10,7,11,13,11,1,14,2,2,3,2,2,1,2,2,1,0,3,5,1,3,0,0,1,2,3,1,19
oscillation,23,65,9,30,24,17,41,3,19,7,23,8,3,14,2,2,3,5,5,5,24,4,2,1,33,1,23,6,5,27
oscillations,26,27,45,23,42,16,41,13,12,7,26,28,24,5,3,2,9,7,6,16,13,6,5,10,7,3,21,19,5,29
oscillator,13,38,9,11,22,10,36,43,17,3,26,20,38,13,23,0,8,0,0,0,0,3,0,1,1,0,3,10,1,19
oscillators,9,16,10,16,36,5,37,36,25,18,20,34,33,28,18,0,5,0,1,1,3,3,0,1,0,2,4,0,0,20
oscillatory,35,27,31,27,37,51,52,15,10,1,17,26,25,14,9,1,5,4,7,19,11,3,5,11,5,3,13,7,3,27
osindero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,3,8,13,9,6,15,10,7,12,5,16,13
others,32,30,32,43,37,38,38,34,53,60,39,41,30,36,33,54,93,67,86,75,64,133,110,106,130,163,150,163,152,29
otherwise,63,32,42,56,55,69,45,70,80,63,88,86,70,73,83,113,143,143,144,175,188,174,206,266,286,378,320,334,402,29
ous,3,2,3,0,2,3,6,4,3,2,11,6,3,5,2,0,1,0,1,6,7,9,10,10,11,11,8,11,0,23
ously,2,2,2,1,3,4,2,4,2,3,2,6,3,1,2,1,0,1,0,6,5,5,5,5,5,6,8,9,0,22
outbreak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,48,0,8,0,3,2,2,0,3,10,4,10
outcome,5,1,4,5,13,6,16,22,27,18,19,17,2,25,16,15,41,31,45,31,33,71,65,81,112,68,63,89,94,28
outcomes,0,0,1,1,5,0,7,10,9,14,6,22,7,22,4,8,22,29,41,14,48,28,38,72,78,52,23,58,53,24
outdoor,0,0,0,4,0,3,0,1,2,3,1,1,0,5,1,2,5,7,10,7,0,4,4,8,18,9,1,23,1,16
outer,44,8,20,21,15,2,21,27,18,5,7,4,12,24,2,15,41,21,25,23,52,40,43,73,42,32,64,77,45,29
outgoing,6,6,3,0,3,6,10,0,7,10,1,3,3,6,1,3,6,13,2,7,7,13,2,7,8,15,16,30,22,25
outlier,1,0,0,5,15,4,4,5,3,2,6,2,4,15,1,11,13,23,13,12,19,22,44,87,54,33,115,57,13,25
outliers,2,0,2,8,14,25,28,2,2,7,36,19,43,33,6,22,27,51,29,31,18,54,103,125,86,88,151,117,114,28
outline,9,2,10,4,7,9,12,7,12,15,10,5,6,25,12,16,14,15,18,21,26,40,33,24,35,34,42,48,50,29
outlined,12,4,4,14,9,4,9,9,9,9,12,8,10,4,11,16,19,10,9,25,16,44,28,24,29,25,38,40,45,29
outlines,1,0,3,0,5,2,2,4,1,3,2,5,6,1,1,4,1,1,2,4,5,47,3,9,4,7,5,9,6,21
outlook,2,0,2,0,0,0,0,1,3,0,2,1,1,1,1,2,2,3,1,4,1,3,2,5,3,6,2,2,2,16
outper,0,0,0,1,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,4,5,3,5,6,8,10,4,5,0,11
outperform,3,3,4,4,4,2,20,10,9,17,10,10,12,9,2,10,29,27,20,35,42,53,81,96,90,92,101,141,139,29
outperformed,0,1,6,1,3,10,5,8,5,3,9,8,6,12,2,12,16,9,10,14,13,22,37,44,50,33,44,34,38,26
